iter	Passed	Remaining
0	2	2100
1	7	3541
2	10	3622
3	12	3166
4	13	2676
5	16	2798
6	21	3113
7	22	2797
8	25	2789
9	28	2863
10	29	2670
11	30	2508
12	30	2349
13	31	2229
14	32	2132
15	33	2041
16	33	1961
17	34	1890
18	35	1825
19	36	1768
20	36	1715
21	37	1675
22	38	1628
23	39	1592
24	40	1569
25	41	1541
26	41	1501
27	42	1473
28	43	1447
29	44	1423
30	44	1402
31	45	1373
32	46	1352
33	46	1331
34	47	1311
35	48	1291
36	48	1274
37	49	1257
38	50	1237
39	50	1220
40	51	1202
41	52	1189
42	52	1176
43	53	1164
44	54	1150
45	54	1139
46	55	1128
47	56	1123
48	57	1112
49	58	1103
50	58	1093
51	59	1087
52	60	1079
53	61	1071
54	61	1064
55	62	1056
56	63	1048
57	63	1037
58	64	1029
59	65	1021
60	65	1015
61	66	1006
62	67	998
63	67	992
64	68	986
65	69	979
66	69	973
67	70	967
68	71	962
69	72	958
70	72	954
71	73	946
72	74	942
73	74	933
74	75	929
75	76	924
76	76	918
77	77	913
78	77	908
79	78	905
80	79	903
81	80	898
82	80	894
83	81	890
84	82	886
85	82	882
86	83	878
87	84	874
88	85	871
89	85	868
90	86	864
91	87	863
92	88	860
93	88	856
94	89	853
95	90	850
96	90	846
97	91	843
98	92	840
99	93	837
100	93	834
101	94	831
102	95	829
103	95	825
104	96	822
105	97	819
106	97	817
107	98	815
108	99	812
109	100	810
110	100	808
111	101	807
112	102	805
113	103	802
114	104	800
115	104	797
116	105	794
117	105	790
118	106	788
119	107	786
120	107	784
121	108	782
122	109	780
123	109	776
124	110	774
125	111	772
126	112	770
127	112	768
128	113	766
129	114	764
130	114	762
131	115	759
132	116	757
133	116	754
134	117	753
135	118	751
136	118	749
137	119	746
138	120	743
139	120	742
140	121	740
141	122	738
142	122	736
143	123	734
144	124	732
145	124	730
146	125	728
147	126	726
148	126	724
149	127	723
150	128	721
151	128	719
152	129	717
153	130	715
154	130	713
155	131	712
156	132	710
157	133	709
158	133	707
159	134	706
160	135	704
161	135	703
162	136	701
163	137	699
164	138	698
165	138	696
166	139	695
167	140	694
168	140	692
169	141	691
170	142	689
171	142	688
172	143	687
173	146	693
174	146	692
175	147	690
176	148	689
177	149	688
178	149	686
179	150	685
180	151	683
181	151	682
182	152	681
183	153	679
184	153	678
185	154	677
186	155	676
187	156	674
188	156	673
189	157	672
190	158	671
191	159	670
192	159	668
193	160	667
194	161	666
195	162	664
196	162	663
197	163	661
198	164	660
199	164	658
200	165	657
201	165	655
202	166	653
203	167	652
204	168	651
205	168	651
206	169	650
207	170	649
208	171	647
209	172	647
210	172	646
211	174	647
212	175	649
213	176	648
214	177	647
215	178	648
216	179	647
217	180	646
218	181	646
219	181	645
220	182	644
221	183	643
222	184	642
223	184	640
224	185	639
225	186	637
226	186	636
227	187	634
228	188	633
229	188	632
230	189	630
231	190	629
232	190	628
233	191	627
234	192	625
235	192	624
236	193	623
237	194	622
238	195	621
239	196	620
240	196	618
241	197	617
242	197	616
243	198	615
244	199	614
245	200	613
246	200	612
247	201	611
248	202	610
249	203	609
250	203	608
251	204	607
252	205	606
253	206	605
254	206	604
255	207	602
256	208	601
257	208	600
258	209	599
259	210	598
260	210	597
261	211	596
262	212	594
263	213	593
264	213	592
265	214	591
266	214	590
267	215	589
268	216	588
269	216	586
270	217	585
271	218	584
272	218	582
273	219	581
274	220	580
275	221	579
276	221	578
277	222	577
278	222	576
279	223	575
280	224	573
281	224	572
282	225	570
283	225	569
284	226	568
285	227	567
286	227	566
287	228	565
288	229	563
289	229	562
290	230	561
291	230	560
292	231	558
293	232	557
294	232	556
295	233	555
296	234	554
297	234	553
298	235	551
299	236	550
300	236	549
301	237	548
302	238	547
303	238	546
304	239	545
305	239	544
306	240	543
307	241	542
308	241	540
309	242	539
310	242	538
311	243	537
312	244	536
313	244	534
314	245	533
315	246	532
316	246	531
317	247	530
318	247	529
319	248	528
320	249	527
321	249	526
322	250	525
323	251	523
324	251	523
325	252	522
326	253	520
327	253	519
328	254	518
329	254	517
330	255	516
331	255	514
332	256	513
333	257	512
334	257	511
335	258	510
336	258	509
337	259	508
338	260	507
339	260	505
340	261	504
341	261	503
342	262	502
343	263	501
344	263	500
345	264	499
346	264	498
347	265	497
348	265	496
349	266	495
350	267	494
351	267	493
352	268	492
353	269	491
354	269	490
355	270	489
356	271	488
357	272	488
358	272	487
359	273	486
360	274	485
361	274	484
362	275	483
363	276	482
364	276	481
365	277	480
366	278	479
367	278	478
368	279	477
369	279	476
370	280	475
371	281	474
372	281	473
373	282	472
374	283	472
375	284	471
376	284	470
377	285	469
378	285	468
379	286	467
380	287	466
381	287	465
382	288	464
383	288	463
384	289	462
385	290	461
386	290	460
387	291	459
388	291	458
389	292	457
390	292	456
391	293	454
392	293	453
393	294	452
394	295	451
395	295	451
396	296	450
397	296	449
398	297	448
399	298	447
400	298	446
401	299	445
402	300	444
403	300	443
404	301	442
405	301	441
406	302	440
407	302	439
408	303	438
409	304	437
410	304	436
411	305	435
412	305	434
413	306	433
414	307	432
415	307	431
416	308	431
417	308	430
418	309	429
419	310	428
420	310	427
421	311	426
422	311	425
423	312	424
424	312	423
425	313	422
426	314	421
427	314	420
428	315	419
429	315	418
430	316	417
431	316	416
432	317	415
433	318	414
434	318	413
435	319	412
436	319	411
437	320	411
438	320	410
439	321	409
440	321	407
441	322	407
442	323	406
443	323	405
444	324	404
445	324	403
446	325	402
447	326	401
448	326	400
449	327	400
450	328	399
451	328	398
452	329	397
453	330	396
454	330	396
455	331	395
456	331	394
457	332	393
458	333	392
459	333	391
460	334	391
461	335	390
462	335	389
463	336	388
464	337	387
465	337	386
466	338	386
467	338	385
468	339	384
469	340	383
470	340	382
471	341	382
472	342	381
473	342	380
474	343	379
475	343	378
476	344	377
477	345	377
478	345	376
479	346	375
480	347	374
481	347	373
482	348	372
483	348	371
484	349	371
485	350	370
486	350	369
487	351	368
488	351	367
489	352	366
490	353	366
491	353	365
492	354	364
493	355	363
494	355	363
495	356	362
496	357	361
497	357	360
498	358	359
499	359	359
500	359	358
501	360	357
502	360	356
503	361	355
504	362	354
505	362	354
506	363	353
507	364	352
508	364	351
509	365	351
510	366	350
511	366	349
512	367	348
513	367	347
514	368	347
515	369	346
516	369	345
517	370	344
518	371	343
519	371	343
520	372	342
521	372	341
522	373	340
523	374	339
524	374	339
525	375	338
526	376	337
527	376	336
528	377	335
529	377	334
530	378	334
531	378	333
532	379	332
533	380	331
534	380	330
535	381	330
536	381	329
537	382	328
538	383	327
539	383	326
540	384	326
541	384	325
542	385	324
543	386	323
544	386	322
545	387	322
546	387	321
547	388	320
548	389	319
549	389	318
550	390	318
551	390	317
552	391	316
553	392	315
554	392	315
555	393	314
556	394	313
557	394	312
558	395	312
559	396	311
560	396	310
561	397	309
562	398	309
563	398	308
564	399	307
565	400	307
566	400	306
567	401	305
568	402	304
569	402	303
570	403	302
571	403	302
572	404	301
573	404	300
574	405	299
575	406	298
576	406	298
577	407	297
578	408	296
579	408	295
580	409	295
581	409	294
582	410	293
583	411	292
584	411	292
585	412	291
586	412	290
587	413	289
588	413	288
589	414	288
590	415	287
591	415	286
592	416	285
593	416	284
594	417	284
595	418	283
596	418	282
597	419	281
598	419	281
599	420	280
600	420	279
601	421	278
602	422	277
603	422	277
604	423	276
605	423	275
606	424	274
607	425	274
608	425	273
609	426	272
610	427	272
611	428	271
612	428	270
613	429	270
614	430	269
615	430	268
616	431	267
617	431	266
618	432	266
619	433	265
620	434	264
621	434	264
622	435	263
623	435	262
624	436	261
625	437	261
626	437	260
627	438	259
628	439	258
629	439	258
630	440	257
631	441	256
632	442	256
633	442	255
634	443	254
635	444	254
636	444	253
637	445	252
638	446	252
639	446	251
640	447	250
641	448	249
642	448	249
643	449	248
644	449	247
645	450	246
646	450	246
647	451	245
648	452	244
649	452	243
650	453	242
651	453	242
652	454	241
653	455	240
654	455	239
655	456	239
656	457	238
657	457	237
658	458	237
659	459	236
660	459	235
661	460	235
662	460	234
663	461	233
664	461	232
665	462	232
666	463	231
667	463	230
668	464	229
669	464	228
670	465	228
671	465	227
672	466	226
673	467	225
674	467	225
675	468	224
676	469	223
677	469	223
678	470	222
679	471	221
680	471	220
681	472	220
682	473	219
683	473	218
684	474	218
685	475	217
686	475	216
687	476	215
688	476	215
689	477	214
690	478	213
691	478	213
692	479	212
693	479	211
694	480	210
695	480	209
696	481	209
697	482	208
698	482	207
699	483	207
700	483	206
701	484	205
702	485	205
703	486	204
704	486	203
705	487	202
706	488	202
707	488	201
708	489	200
709	490	200
710	490	199
711	491	198
712	491	198
713	492	197
714	493	196
715	493	195
716	494	195
717	495	194
718	495	193
719	496	193
720	496	192
721	497	191
722	498	190
723	498	190
724	499	189
725	499	188
726	500	187
727	501	187
728	501	186
729	502	185
730	502	185
731	503	184
732	504	183
733	505	183
734	505	182
735	506	181
